CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
F29485,1965,C,2.0,14:28.0,12/09/2019,12/09/2019 00:00,27/09/2019,12/09/2019,976.5,146.48,0.0
F29486,1965,E,2.0,25:52.0,12/09/2019,12/09/2019 00:00,27/09/2019,,976.5,146.48,0.0
F29487,4598,E,1.0,34:01.0,12/09/2019,12/09/2019 00:00,12/10/2019,,5856.0,0.0,0.0
F29488,6837,E,2.0,49:12.0,12/09/2019,12/09/2019 00:00,12/09/2019,,1502.4,0.0,0.0
F29489,4779,E,1.0,12:47.0,12/09/2019,12/09/2019 00:00,12/10/2019,,24408.0,0.0,0.0
F29490,5926,E,2.0,27:48.0,12/09/2019,12/09/2019 00:00,12/09/2019,,493.96,0.0,0.0
F29491,2576,E,2.0,38:10.0,12/09/2019,12/09/2019 00:00,27/09/2019,,1330.0,0.0,0.0
F29492,1020,E,2.0,50:21.0,12/09/2019,12/09/2019 00:00,12/10/2019,,262.94,0.0,0.0
F29493,1020,E,2.0,58:25.0,12/09/2019,12/09/2019 00:00,12/10/2019,,448.28,0.0,0.0
F29494,3143,E,2.0,13:47.0,12/09/2019,12/09/2019 00:00,12/09/2019,,103.448,0.0,0.0
F29495,6426,E,2.0,21:25.0,12/09/2019,12/09/2019 00:00,12/09/2019,,346.55,0.0,0.0
F29496,6016,E,2.0,30:44.0,12/09/2019,12/09/2019 00:00,12/09/2019,,241.3793,0.0,0.0
F29497,6831,E,2.0,12:07.0,12/09/2019,12/09/2019 00:00,12/09/2019,,7140.54,0.0,0.0
F29498,4889,E,3.0,21:28.0,12/09/2019,12/09/2019 00:00,12/09/2019,,605.69,0.0,0.0
F29499,6047,E,2.0,57:25.0,12/09/2019,12/09/2019 00:00,12/09/2019,,1218.8826,0.0,0.0
F29500,4563,C,2.0,05:27.0,13/09/2019,13/09/2019 00:00,13/09/2019,13/09/2019,4464.8,0.0,0.0
F29501,4563,E,2.0,35:37.0,13/09/2019,13/09/2019 00:00,13/09/2019,,4464.8,0.0,0.0
F29502,5485,C,3.0,10:36.0,13/09/2019,13/09/2019 00:00,13/09/2019,17/09/2019,252.156,0.0,0.0
F29503,6838,E,2.0,34:19.0,13/09/2019,13/09/2019 00:00,13/09/2019,,1025.45,0.0,0.0
F29504,2357,E,2.0,25:10.0,13/09/2019,13/09/2019 00:00,13/09/2019,,2989.04,0.0,0.0
F29505,6211,E,2.0,30:56.0,13/09/2019,13/09/2019 00:00,13/09/2019,,315.0,0.0,0.0
F29506,6547,E,2.0,50:04.0,13/09/2019,13/09/2019 00:00,13/09/2019,,466.8272,0.0,0.0
F29508,3686,E,2.0,13:33.0,13/09/2019,13/09/2019 00:00,28/09/2019,,2730.73,0.0,0.0
F29509,5205,E,1.0,37:51.0,13/09/2019,13/09/2019 00:00,13/10/2019,,83873.0,0.0,0.0
F29510,6826,E,2.0,56:01.0,13/09/2019,13/09/2019 00:00,13/09/2019,,679.82,0.0,0.0
F29511,5926,E,2.0,10:13.0,17/09/2019,17/09/2019 00:00,17/09/2019,,783.15,0.0,0.0
F29512,6839,E,2.0,27:16.0,17/09/2019,17/09/2019 00:00,17/09/2019,,25075.6,0.0,0.0
F29513,6757,E,2.0,01:03.0,17/09/2019,17/09/2019 00:00,17/09/2019,,112733.7,0.0,0.0
F29514,6211,E,2.0,08:40.0,17/09/2019,17/09/2019 00:00,17/09/2019,,305.52,0.0,0.0
F29515,6805,E,2.0,58:56.0,17/09/2019,17/09/2019 00:00,17/09/2019,,144.0,0.0,0.0
F29516,5165,E,1.0,59:08.0,17/09/2019,17/09/2019 00:00,17/10/2019,,7700.0,0.0,0.0
F29517,5458,E,2.0,20:57.0,17/09/2019,17/09/2019 00:00,17/09/2019,,252.16,0.0,0.0
F29518,3926,E,1.0,33:25.0,17/09/2019,17/09/2019 00:00,17/10/2019,,1550.0,0.0,0.0
,5926,E,2.0,51:50.0,17/09/2019,17/09/2019 00:00,17/09/2019,,595.02,0.0,0.0
F29520,2740,E,2.0,35:13.0,17/09/2019,17/09/2019 00:00,17/09/2019,,1682.0,0.0,0.0
F29521,5926,E,2.0,52:23.0,17/09/2019,17/09/2019 00:00,17/09/2019,,1496.46,0.0,0.0
F29522,5926,E,2.0,32:02.0,17/09/2019,17/09/2019 00:00,17/09/2019,,1227.61,0.0,0.0
F29523,3341,E,2.0,12:58.0,17/09/2019,17/09/2019 00:00,17/09/2019,,226.8272,0.0,0.0
F29524,5926,E,2.0,24:40.0,17/09/2019,17/09/2019 00:00,17/09/2019,,2594.8272,0.0,0.0
F29525,5926,E,2.0,29:51.0,17/09/2019,10/09/2019 00:00,17/09/2019,,227.6,0.0,0.0
F29526,6369,E,2.0,16:56.0,18/09/2019,18/09/2019 00:00,18/09/2019,,4023.5,0.0,0.0
F29527,5598,E,2.0,55:33.0,18/09/2019,18/09/2019 00:00,18/09/2019,,3000.0,0.0,0.0
F29528,1125,C,,03:18.0,18/09/2019,18/09/2019 00:00,03/10/2019,18/09/2019,2697.0,0.0,0.0
F29529,6760,E,2.0,06:21.0,18/09/2019,18/09/2019 00:00,18/09/2019,,1228.5,0.0,0.0
F29530,1125,E,2.0,12:54.0,18/09/2019,18/09/2019 00:00,03/10/2019,,2697.0,0.0,0.0
F29531,5926,E,2.0,24:04.0,18/09/2019,18/09/2019 00:00,18/09/2019,,1215.54,0.0,0.0
F29532,4029,E,2.0,25:41.0,18/09/2019,06/09/2019 00:00,18/09/2019,,7784.48,0.0,0.0
F29533,43,C,1.0,42:58.0,18/09/2019,18/09/2019 00:00,18/10/2019,26/09/2019,17230.0,0.0,0.0
F29534,537,E,2.0,45:39.0,18/09/2019,18/09/2019 00:00,03/10/2019,,7096.4237,0.0,0.0
F29535,6841,E,2.0,57:23.0,18/09/2019,18/09/2019 00:00,18/09/2019,,1487.87,0.0,0.0
F29536,5926,E,2.0,28:31.0,18/09/2019,18/09/2019 00:00,18/09/2019,,912.6484,0.0,0.0
F29537,43,E,1.0,50:41.0,18/09/2019,18/09/2019 00:00,18/10/2019,,37000.0,3700.0,0.0
F29539,4802,E,2.0,50:46.0,18/09/2019,18/09/2019 00:00,18/09/2019,,1197.7495,0.0,0.0
F29540,5486,E,1.0,19:21.0,18/09/2019,18/09/2019 00:00,18/09/2019,,1050.0,0.0,0.0
F29541,5668,E,3.0,56:43.0,18/09/2019,18/09/2019 00:00,18/09/2019,,4118.62,0.0,0.0
F29542,417,E,2.0,00:36.0,18/09/2019,18/09/2019 00:00,03/10/2019,,6221.8,0.0,0.0
F29543,4635,E,2.0,32:19.0,18/09/2019,18/09/2019 00:00,18/10/2019,,6194.64,0.0,0.0
F29544,5926,E,2.0,10:43.0,19/09/2019,19/09/2019 00:00,19/09/2019,,5129.784,0.0,0.0
F29545,6054,E,2.0,43:29.0,19/09/2019,19/09/2019 00:00,19/09/2019,,20274.0,0.0,0.0
F29546,6481,E,2.0,33:44.0,19/09/2019,10/09/2019 00:00,19/09/2019,,1486.9,0.0,0.0
F29547,5826,E,2.0,52:33.0,19/09/2019,19/09/2019 00:00,04/10/2019,,385.0,0.0,0.0
F29548,6834,E,2.0,03:10.0,19/09/2019,19/09/2019 00:00,19/09/2019,,919.46,0.0,0.0
F29549,1965,E,2.0,14:09.0,19/09/2019,19/09/2019 00:00,04/10/2019,,1155.0,173.25,0.0
F29550,6842,E,2.0,38:08.0,19/09/2019,19/09/2019 00:00,19/09/2019,,852.27,0.0,0.0
F29551,6340,E,2.0,44:05.0,19/09/2019,19/09/2019 00:00,19/09/2019,,3194.64,0.0,0.0
F29552,6843,E,2.0,03:33.0,19/09/2019,19/09/2019 00:00,19/09/2019,,252.16,0.0,0.0
F29554,5068,C,2.0,28:34.0,19/09/2019,13/09/2019 00:00,03/11/2019,04/10/2019,35725.0,0.0,0.0
F29555,5114,E,2.0,38:26.0,19/09/2019,19/09/2019 00:00,19/09/2019,,232.8,0.0,0.0
F29556,5197,E,2.0,44:04.0,19/09/2019,19/09/2019 00:00,19/09/2019,,110.0,0.0,0.0
F29557,5046,E,2.0,28:02.0,19/09/2019,19/09/2019 00:00,19/09/2019,,252.16,0.0,0.0
F29558,5739,C,1.0,43:48.0,19/09/2019,19/09/2019 00:00,18/11/2019,19/09/2019,19000.0,0.0,0.0
F29559,5739,C,1.0,45:50.0,19/09/2019,19/09/2019 00:00,18/11/2019,02/10/2019,4410.0,0.0,0.0
